Frequency	Imp. Mag	Imp. Angle
+1.69752913736171E+003	+2.06077980113461E+001	+3.40747825201787E+001
+1.72498537115111E+003	+2.06598801804476E+001	+3.43591048787448E+001
+1.75288568849544E+003	+2.06616694587079E+001	+3.48700758057900E+001
+1.78123727210609E+003	+2.07751805666677E+001	+3.59062982691874E+001
+1.81004742086934E+003	+2.09755373875767E+001	+3.62447446670278E+001
+1.83932355172536E+003	+2.11158114423184E+001	+3.57845308467471E+001
+1.86907320157763E+003	+2.11791250854421E+001	+3.61351908198317E+001
+1.89930402923328E+003	+2.13436231754727E+001	+3.59805812390558E+001
+1.93002381737478E+003	+2.13841489096611E+001	+3.54607504118143E+001
+1.96124047456355E+003	+2.14517510504540E+001	+3.57900234337883E+001
+1.99296203727590E+003	+2.15289358535944E+001	+3.57236213101959E+001
+2.02519667197201E+003	+2.15838254556702E+001	+3.58744277136105E+001
+2.05795267719829E+003	+2.17038521704726E+001	+3.58473770969086E+001
+2.09123848572380E+003	+2.17374707627967E+001	+3.56605836020731E+001
+2.12506266671116E+003	+2.17872716708242E+001	+3.63251265607638E+001
+2.15943392792264E+003	+2.20061407340983E+001	+3.67782935931949E+001
+2.19436111796190E+003	+2.22256619544726E+001	+3.59336699433242E+001
+2.22985322855199E+003	+2.23302104424881E+001	+3.48737649714194E+001
+2.26591939685019E+003	+2.22823771891840E+001	+3.39109325086766E+001
+2.30256890780030E+003	+2.22259176350915E+001	+3.34071880821097E+001
+2.33981119652298E+003	+2.20612253780027E+001	+3.34560998733023E+001
+2.37765585074473E+003	+2.19586401800345E+001	+3.47130946162246E+001
+2.41611261326620E+003	+2.21145813891239E+001	+3.61832493222808E+001
+2.45519138447036E+003	+2.23400892958372E+001	+3.70026804931130E+001
+2.49490222487133E+003	+2.26835899626037E+001	+3.69028399440786E+001
+2.53525535770429E+003	+2.28664986679306E+001	+3.53730281074003E+001
+2.57626117155745E+003	+2.29732317548470E+001	+3.33075236453134E+001
+2.61793022304647E+003	+2.26832894880636E+001	+3.24831415002562E+001
+2.66027323953220E+003	+2.26964467000428E+001	+3.23339450962211E+001
+2.70330112188232E+003	+2.24590279702695E+001	+3.23876976426324E+001
+2.74702494727769E+003	+2.24984138738727E+001	+3.37115186182750E+001
+2.79145597206411E+003	+2.25622729037425E+001	+3.40624216733749E+001
+2.83660563465014E+003	+2.26197157231704E+001	+3.40801586291982E+001
+2.88248555845182E+003	+2.25980105034690E+001	+3.48211059779063E+001
+2.92910755488509E+003	+2.28178954976530E+001	+3.52368057758313E+001
+2.97648362640644E+003	+2.28729998425598E+001	+3.44774112947427E+001
+3.02462596960296E+003	+2.29173612404892E+001	+3.42153250889862E+001
+3.07354697833215E+003	+2.29128174959450E+001	+3.32859909776282E+001
+3.12325924691268E+003	+2.26762896431442E+001	+3.35907176259931E+001
