Frequency	Imp. Mag	Imp. Angle
+9.37550391292757E+002	+2.10032487425005E+001	+2.07382387187880E+001
+9.52714550873953E+002	+2.09961450338384E+001	+2.08740304363529E+001
+9.68123979123307E+002	+2.09731605417867E+001	+2.10464762753074E+001
+9.83782643073695E+002	+2.09408198057888E+001	+2.14554922697453E+001
+9.99694573921710E+002	+2.08982947013675E+001	+2.21048534222715E+001
+1.01586386806546E+003	+2.09986781859103E+001	+2.30021078574642E+001
+1.03229468815917E+003	+2.10713317352650E+001	+2.31367714961061E+001
+1.04899126418479E+003	+2.10563027919415E+001	+2.29917622695093E+001
+1.06595789454099E+003	+2.10242951591475E+001	+2.36578309349764E+001
+1.08319894714976E+003	+2.10509251572106E+001	+2.44965918746105E+001
+1.10071886058088E+003	+2.11325078268026E+001	+2.48171427841882E+001
+1.11852214519460E+003	+2.11279535422412E+001	+2.53418899466261E+001
+1.13661338430276E+003	+2.11754851258665E+001	+2.57921047923035E+001
+1.15499723534881E+003	+2.12204814490288E+001	+2.64282123122652E+001
+1.17367843110675E+003	+2.12925188789039E+001	+2.69860235767004E+001
+1.19266178089957E+003	+2.13579787230523E+001	+2.73823088488635E+001
+1.21195217183740E+003	+2.13983678419713E+001	+2.78159722696707E+001
+1.23155457007562E+003	+2.14682772252757E+001	+2.84668239700329E+001
+1.25147402209337E+003	+2.15524221994687E+001	+2.89562485604831E+001
+1.27171565599272E+003	+2.16491732057913E+001	+2.93721297026700E+001
+1.29228468281889E+003	+2.17368091972919E+001	+2.97160894825970E+001
+1.31318639790172E+003	+2.18380054344472E+001	+3.00646999228841E+001
+1.33442618221900E+003	+2.19629455152253E+001	+3.03418995516734E+001
+1.35600950378168E+003	+2.20538366324548E+001	+3.01598418005631E+001
+1.37794191904164E+003	+2.20956018526969E+001	+3.02528526769472E+001
+1.40022907432206E+003	+2.21606323346080E+001	+3.03770203952343E+001
+1.42287670727113E+003	+2.22114573013423E+001	+3.01965178675073E+001
+1.44589064833906E+003	+2.21863441460533E+001	+3.04321482474004E+001
+1.46927682227915E+003	+2.21905590754743E+001	+3.09722992196285E+001
+1.49304124967304E+003	+2.22181650853216E+001	+3.18292169961671E+001
+1.51719004848068E+003	+2.23010776462110E+001	+3.27168056056123E+001
+1.54172943561531E+003	+2.24599665338314E+001	+3.34484189541753E+001
+1.56666572854402E+003	+2.26170777777464E+001	+3.38916148253582E+001
+1.59200534691405E+003	+2.27856526895078E+001	+3.40638216034307E+001
+1.61775481420554E+003	+2.29558432455635E+001	+3.40693303189551E+001
+1.64392075941093E+003	+2.31373110681553E+001	+3.37894701056649E+001
+1.67050991874153E+003	+2.32917874654670E+001	+3.27670195802440E+001
+1.69752913736171E+003	+2.31982182183180E+001	+3.14536897524336E+001
+1.72498537115111E+003	+2.30879538487672E+001	+3.19972678749497E+001
+1.75288568849544E+003	+2.30763027914018E+001	+3.24343200364986E+001
+1.78123727210609E+003	+2.30689393736303E+001	+3.36315889598170E+001
+1.81004742086934E+003	+2.32335088843267E+001	+3.44906328485701E+001
+1.83932355172536E+003	+2.34011983306606E+001	+3.45983572090351E+001
+1.86907320157763E+003	+2.34861961153736E+001	+3.48341796585940E+001
+1.89930402923328E+003	+2.36468399688244E+001	+3.50010640675923E+001
+1.93002381737478E+003	+2.37512657489945E+001	+3.48044305581380E+001
+1.96124047456355E+003	+2.38696046436778E+001	+3.52880515083642E+001
+1.99296203727590E+003	+2.40515592257034E+001	+3.52195423651497E+001
+2.02519667197201E+003	+2.42124373240410E+001	+3.41943610952347E+001
+2.05795267719829E+003	+2.43244029428687E+001	+3.35697695707318E+001
+2.09123848572380E+003	+2.42891918194426E+001	+3.16635951163717E+001
+2.12506266671116E+003	+2.39868752395234E+001	+3.15381830600651E+001
+2.15943392792264E+003	+2.39392463531027E+001	+3.31460063184592E+001
+2.19436111796190E+003	+2.40065765073395E+001	+3.48123186177997E+001
+2.22985322855199E+003	+2.42507863064642E+001	+3.60205654153095E+001
+2.26591939685019E+003	+2.45603939572052E+001	+3.61580913391542E+001
+2.30256890780030E+003	+2.48148794513116E+001	+3.55726092565034E+001
+2.33981119652298E+003	+2.49976168382934E+001	+3.47281946780180E+001
+2.37765585074473E+003	+2.52135096029829E+001	+3.34322148705804E+001
+2.41611261326620E+003	+2.53188376924061E+001	+3.10478273841612E+001
+2.45519138447036E+003	+2.51776298160388E+001	+2.92963843942939E+001
+2.49490222487133E+003	+2.50424345569122E+001	+2.81711513764352E+001
+2.53525535770429E+003	+2.47848718085600E+001	+2.81168957172012E+001
+2.57626117155745E+003	+2.46542403879920E+001	+2.86587917934724E+001
+2.61793022304647E+003	+2.46146862963340E+001	+2.95272962948485E+001
+2.66027323953220E+003	+2.46403285414663E+001	+2.93053939956915E+001
+2.70330112188232E+003	+2.45011364995067E+001	+2.93752196953531E+001
+2.74702494727769E+003	+2.44534972965320E+001	+2.94909868126897E+001
+2.79145597206411E+003	+2.42899372258967E+001	+3.04626674213268E+001
+2.83660563465014E+003	+2.43068324489514E+001	+3.13525961030498E+001
+2.88248555845182E+003	+2.42878604654212E+001	+3.25927371168249E+001
+2.92910755488509E+003	+2.43660382140243E+001	+3.34297604920621E+001
+2.97648362640644E+003	+2.44312522429534E+001	+3.44815891946379E+001
+3.02462596960296E+003	+2.45573963918010E+001	+3.50607973897073E+001
+3.07354697833215E+003	+2.47082395466918E+001	+3.58150364048006E+001
+3.12325924691268E+003	+2.48866635618443E+001	+3.57566580716020E+001
+3.17377557336669E+003	+2.50264527189236E+001	+3.51960109030082E+001
+3.22510896271451E+003	+2.50090362520012E+001	+3.46212651140156E+001
+3.27727263032273E+003	+2.49213376562994E+001	+3.46675435774423E+001
+3.33028000530635E+003	+2.49176856632259E+001	+3.53882333745651E+001
+3.38414473398605E+003	+2.49883909372137E+001	+3.59699913608806E+001
+3.43888068340128E+003	+2.50406792387253E+001	+3.62424513250538E+001
+3.49450194488023E+003	+2.50848817342217E+001	+3.64738174767712E+001
+3.55102283766755E+003	+2.51082102480090E+001	+3.69435270030704E+001
+3.60845791261068E+003	+2.51323648528690E+001	+3.74230984137714E+001
