Frequency	Imp. Mag	Imp. Angle
+4.70286950490363E+002	+1.90708343496991E+001	+1.42014321509508E+001
+4.77893481757826E+002	+1.91398931105740E+001	+1.55428352305780E+001
+4.85623042843280E+002	+1.92402037129042E+001	+1.72002190560196E+001
+4.93477623659813E+002	+1.94798010062138E+001	+1.92389435175626E+001
+5.01459246305832E+002	+1.98232568240810E+001	+2.07791010358717E+001
+5.09569965585639E+002	+2.02545801886389E+001	+2.31461356427333E+001
+5.17811869538417E+002	+2.13120861109118E+001	+2.46467364138354E+001
+5.26187079975790E+002	+2.28938458665252E+001	+2.03472388052187E+001
+5.34697753028055E+002	+2.37876948929456E+001	+3.08185301104814E+000
+5.43346079699269E+002	+2.05662898222831E+001	-1.48903647228910E+001
+5.52134286431300E+002	+1.92542895836673E+001	+8.07368956583386E+000
+5.61064635677007E+002	+1.90848574921959E+001	+5.22250878789823E+000
+5.70139426482694E+002	+1.94050604586575E+001	+8.20123006398089E+000
+5.79360995079976E+002	+1.94717554465113E+001	+1.02186126080800E+001
+5.88731715487227E+002	+1.95450105905091E+001	+1.14973285888763E+001
+5.98254000120749E+002	+1.95443934288808E+001	+1.21936762122169E+001
+6.07930300415830E+002	+1.95578581502148E+001	+1.29554084997785E+001
+6.17763107457848E+002	+1.95597815436557E+001	+1.40571907601946E+001
+6.27754952623577E+002	+1.96311858002927E+001	+1.48557055454789E+001
+6.37908408232874E+002	+1.97110178391676E+001	+1.54862983804120E+001
+6.48226088210898E+002	+1.97447142316104E+001	+1.57392815084408E+001
+6.58710648761046E+002	+1.97619003787993E+001	+1.66008230326271E+001
+6.69364789048773E+002	+1.98257295051808E+001	+1.70994252946579E+001
+6.80191251896463E+002	+1.98977789387777E+001	+1.75847339015210E+001
+6.91192824489558E+002	+1.99414015920813E+001	+1.79961215272408E+001
+7.02372339094084E+002	+1.99814068047696E+001	+1.86547227164558E+001
+7.13732673785806E+002	+2.00374545955296E+001	+1.91637595519436E+001
+7.25276753191156E+002	+2.01169297689593E+001	+1.95658733261492E+001
+7.37007549240163E+002	+2.02047311517192E+001	+1.97885893498357E+001
+7.48928081931547E+002	+2.02031031933531E+001	+2.00694722542229E+001
+7.61041420110189E+002	+2.02728583566668E+001	+2.06861644843125E+001
+7.73350682257196E+002	+2.03237698125452E+001	+2.11538031405480E+001
+7.85859037292710E+002	+2.03850212889658E+001	+2.16072486846816E+001
+7.98569705391733E+002	+2.04713298772429E+001	+2.21032001649867E+001
+8.11485958813132E+002	+2.05345486186277E+001	+2.23379676639127E+001
+8.24611122742053E+002	+2.05773824766883E+001	+2.26704919750373E+001
+8.37948576145968E+002	+2.06488043643627E+001	+2.31706081939099E+001
+8.51501752644558E+002	+2.06621499102269E+001	+2.37700053979434E+001
+8.65274141393675E+002	+2.07543405858540E+001	+2.45649133264528E+001
+8.79269287983591E+002	+2.08667591164991E+001	+2.55562728082988E+001
+8.93490795351790E+002	+2.10496998630084E+001	+2.66603920844973E+001
+9.07942324710507E+002	+2.13517413481406E+001	+2.75768734542137E+001
+9.22627596489282E+002	+2.17866432260770E+001	+2.78302678082172E+001
+9.37550391292757E+002	+2.23549457334121E+001	+2.63991148362287E+001
+9.52714550873953E+002	+2.27907578860249E+001	+2.18049395993715E+001
+9.68123979123307E+002	+2.24964186057634E+001	+1.51527538219530E+001
+9.83782643073695E+002	+2.14938677317633E+001	+1.33685456465305E+001
+9.99694573921710E+002	+2.09846016781228E+001	+1.64356489907926E+001
+1.01586386806546E+003	+2.08972726897294E+001	+1.90621460304122E+001
+1.03229468815917E+003	+2.09170046031084E+001	+2.06983089443767E+001
+1.04899126418479E+003	+2.09575029375792E+001	+2.16715203278906E+001
+1.06595789454099E+003	+2.09762785866487E+001	+2.25861356269516E+001
+1.08319894714976E+003	+2.10336945310155E+001	+2.35129987735309E+001
+1.10071886058088E+003	+2.11105196749563E+001	+2.40462140469234E+001
+1.11852214519460E+003	+2.11503678535477E+001	+2.44839016427405E+001
+1.13661338430276E+003	+2.11782448700676E+001	+2.50044114457206E+001
+1.15499723534881E+003	+2.11662419615798E+001	+2.57961489504409E+001
+1.17367843110675E+003	+2.12970555658338E+001	+2.69764563776683E+001
+1.19266178089957E+003	+2.14589250190755E+001	+2.75664054500798E+001
+1.21195217183740E+003	+2.16995585812542E+001	+2.74714790618338E+001
+1.23155457007562E+003	+2.17680465365537E+001	+2.47719614245039E+001
+1.25147402209337E+003	+2.13529927257309E+001	+2.72834678788554E+001
+1.27171565599272E+003	+2.15157556469569E+001	+2.77374887669037E+001
+1.29228468281889E+003	+2.15463901318173E+001	+2.82490334575670E+001
+1.31318639790172E+003	+2.15841886012377E+001	+2.91484068746627E+001
+1.33442618221900E+003	+2.17048335351847E+001	+3.01402088433388E+001
+1.35600950378168E+003	+2.19372294424712E+001	+3.05483890575130E+001
+1.37794191904164E+003	+2.20538365273301E+001	+2.86246598996799E+001
+1.40022907432206E+003	+2.17861330940574E+001	+3.03213660245377E+001
+1.42287670727113E+003	+2.18933272427972E+001	+3.11141374739204E+001
+1.44589064833906E+003	+2.19748118519486E+001	+3.19383481270684E+001
+1.46927682227915E+003	+2.20860189899377E+001	+3.26975716265523E+001
+1.49304124967304E+003	+2.22134943333268E+001	+3.33606038028053E+001
+1.51719004848068E+003	+2.23583812633650E+001	+3.39824847770331E+001
+1.54172943561531E+003	+2.25692420963622E+001	+3.44853670842387E+001
+1.56666572854402E+003	+2.28014582263738E+001	+3.37705510271253E+001
+1.59200534691405E+003	+2.26484009609006E+001	+3.25626272711616E+001
+1.61775481420554E+003	+2.27146812245826E+001	+3.55475845668126E+001
+1.64392075941093E+003	+2.29532673840964E+001	+3.49246523251224E+001
+1.67050991874153E+003	+2.31933133598293E+001	+3.62047685992197E+001
+1.69752913736171E+003	+2.35582942494489E+001	+3.52140341812024E+001
+1.72498537115111E+003	+2.36514672957910E+001	+3.34442208724543E+001
+1.75288568849544E+003	+2.36351988051136E+001	+3.23292480358379E+001
+1.78123727210609E+003	+2.33853773286925E+001	+3.10664803086582E+001
+1.81004742086934E+003	+2.33704567610626E+001	+3.29158833008842E+001
+1.83932355172536E+003	+2.34420686592802E+001	+3.34829272077112E+001
+1.86907320157763E+003	+2.35759349094158E+001	+3.42123776336643E+001
+1.89930402923328E+003	+2.38217417839720E+001	+3.40322695145004E+001
+1.93002381737478E+003	+2.38908465749678E+001	+3.24313517078107E+001
+1.96124047456355E+003	+2.33870658190091E+001	+3.11738930450939E+001
+1.99296203727590E+003	+2.37881063167151E+001	+3.62545189767239E+001
+2.02519667197201E+003	+2.41297176883074E+001	+3.61221949853784E+001
