Frequency	Imp. Mag	Imp. Angle
+1.78123727210609E+003	+2.09341650744247E+001	+3.56914760842517E+001
+1.81004742086934E+003	+2.10421625619861E+001	+3.50809538976054E+001
+1.83932355172536E+003	+2.08326631348560E+001	+3.56988643714055E+001
+1.86907320157763E+003	+2.12589355898187E+001	+3.78170775495661E+001
+1.89930402923328E+003	+2.16082896223603E+001	+3.65998904811071E+001
+1.93002381737478E+003	+2.16663058126097E+001	+3.42616765007696E+001
+1.96124047456355E+003	+2.13963037194938E+001	+3.38715854360039E+001
+1.99296203727590E+003	+2.13391890054576E+001	+3.51736292139720E+001
+2.02519667197201E+003	+2.15297300257042E+001	+3.65410687668571E+001
+2.05795267719829E+003	+2.18470917261512E+001	+3.54285365986004E+001
+2.09123848572380E+003	+2.16466801522787E+001	+3.48584079908834E+001
+2.12506266671116E+003	+2.16232331064399E+001	+3.64557721789770E+001
+2.15943392792264E+003	+2.19115373513697E+001	+3.81135626336765E+001
+2.19436111796190E+003	+2.24140730558662E+001	+3.74742062119833E+001
+2.22985322855199E+003	+2.26140061035855E+001	+3.44589850112529E+001
+2.26591939685019E+003	+2.24263641301566E+001	+3.26211327556211E+001
+2.30256890780030E+003	+2.22361921429630E+001	+3.18271990326417E+001
+2.33981119652298E+003	+2.19318384843581E+001	+3.26016964422080E+001
+2.37765585074473E+003	+2.19588991874318E+001	+3.49512053249913E+001
+2.41611261326620E+003	+2.21602742265679E+001	+3.52742479117492E+001
+2.45519138447036E+003	+2.20741300067817E+001	+3.49332305618149E+001
+2.49490222487133E+003	+2.23676706040833E+001	+3.73181119523926E+001
+2.53525535770429E+003	+2.27747405597301E+001	+3.65327840171767E+001
+2.57626117155745E+003	+2.27284426896469E+001	+3.58203911336916E+001
+2.61793022304647E+003	+2.31287758782157E+001	+3.32636092166892E+001
+2.66027323953220E+003	+2.29232714947554E+001	+3.21789100420957E+001
+2.70330112188232E+003	+2.25688188008509E+001	+3.12131349575594E+001
+2.74702494727769E+003	+2.25718157828109E+001	+3.21349516592233E+001
+2.79145597206411E+003	+2.22867226391338E+001	+3.23040849149453E+001
+2.83660563465014E+003	+2.24047657729142E+001	+3.51910327634010E+001
+2.88248555845182E+003	+2.27845496838274E+001	+3.50831660639365E+001
+2.92910755488509E+003	+2.26756498189429E+001	+3.59847708096609E+001
+2.97648362640644E+003	+2.30125998604328E+001	+3.59109772776429E+001
+3.02462596960296E+003	+2.32181920435266E+001	+3.19009825645492E+001
+3.07354697833215E+003	+2.28261250640097E+001	+3.20915091164885E+001
+3.12325924691268E+003	+2.25491607685202E+001	+3.37520262263440E+001
+3.17377557336669E+003	+2.25428436003717E+001	+3.38374298588387E+001
+3.22510896271451E+003	+2.26646038457155E+001	+3.68437223899412E+001
+3.27727263032273E+003	+2.29076038005240E+001	+3.71813515641145E+001
+3.33028000530635E+003	+2.30215291588691E+001	+3.61643637888153E+001
+3.38414473398605E+003	+2.29268701755333E+001	+3.54927174428226E+001
+3.43888068340128E+003	+2.30170418771381E+001	+3.77967912107204E+001
+3.49450194488023E+003	+2.33912884713315E+001	+3.68690168009681E+001
+3.55102283766755E+003	+2.30643553816648E+001	+3.63457619571454E+001
+3.60845791261068E+003	+2.33789665619317E+001	+3.75405842514056E+001
+3.66682195590589E+003	+2.33732393846903E+001	+3.72174912102128E+001
+3.72612999290486E+003	+2.33000410256651E+001	+3.79191873596931E+001
+3.78639729198281E+003	+2.35302037133775E+001	+3.74052283964468E+001
+3.84763936846924E+003	+2.35653225430721E+001	+3.78617857120929E+001
+3.90987198864223E+003	+2.35271407638267E+001	+3.74731080284428E+001
+3.97311117378733E+003	+2.35608068360555E+001	+3.72526133828013E+001
+4.03737320432210E+003	+2.36986949515046E+001	+3.76006158398038E+001
+4.10267462398741E+003	+2.36983600419645E+001	+3.78408957879000E+001
+4.16903224410645E+003	+2.38154128643813E+001	+3.73895553020254E+001
+4.23646314791271E+003	+2.37505338790714E+001	+3.67869083320583E+001
+4.30498469494787E+003	+2.36017628303262E+001	+3.79367222000645E+001
+4.37461452553093E+003	+2.36350343749079E+001	+3.85740084497915E+001
+4.44537056529952E+003	+2.37173766526627E+001	+3.92388280280478E+001
+4.51727102982474E+003	+2.37631801129788E+001	+3.99434456937242E+001
+4.59033442930060E+003	+2.38477225432879E+001	+4.04709194389627E+001
+4.66457957330934E+003	+2.39369165306501E+001	+4.09530405074711E+001
+4.74002557566374E+003	+2.40311904903374E+001	+4.13914307294258E+001
